{{s10video1}},{{hookline}},{{s10alt1}},{{videoscreenshot}},{{s10caption1}}
https://cdn.suvichaar.org/media/videos/portrait_Mountain%202.mp4,"Suvichaar grows like nature, bringing peace. 🌿",A lush green landscape with serene nature.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xMS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjcyMCwiaGVpZ2h0IjoxMjgwLCJmaXQiOiJjb3ZlciJ9fX0=,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_Sunrise%201.mp4,"Beyond the clouds, Suvichaar finds clarity. ☁️",A stunning view of clouds from above the sky.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xMi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjcyMCwiaGVpZ2h0IjoxMjgwLCJmaXQiOiJjb3ZlciJ9fX0=,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_mountain1_smalll.mp4,Simplicity is wisdom—Suvichaar embraces it. 🌾,A peaceful farm surrounded by nature.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xMy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjcyMCwiaGVpZ2h0IjoxMjgwLCJmaXQiOiJjb3ZlciJ9fX0=,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_Sunrise%202.mp4,Suvichaar fuels thoughts like wind fuels change. 🌬️,Wind turbines spinning with a parked bike in the field.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xNC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjcyMCwiaGVpZ2h0IjoxMjgwLCJmaXQiOiJjb3ZlciJ9fX0=,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_Sunrise%203.mp4,The ocean teaches patience—Suvichaar reminds us. 🌊,A vast and calm ocean under the sunrise.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xNS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjcyMCwiaGVpZ2h0IjoxMjgwLCJmaXQiOiJjb3ZlciJ9fX0=,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_Waterflow1.mp4,"Suvichaar flows like water, shaping the mind. 💧",A gentle stream of water flowing naturally.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xNi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjcyMCwiaGVpZ2h0IjoxMjgwLCJmaXQiOiJjb3ZlciJ9fX0=,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_Waterflow2.mp4,Suvichaar moves like water—calm yet powerful. 🌊,A slow and steady water flow in a peaceful setting.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xNy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjcyMCwiaGVpZ2h0IjoxMjgwLCJmaXQiOiJjb3ZlciJ9fX0=,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_854286-hd_1920_1080_30fps.mp4,Change is beautiful—Suvichaar inspires it. 🦋,A beautiful butterfly fluttering gracefully.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8xLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_856857-uhd_4096_2160_30fps.mp4,Suvichaar unveils the universe’s wisdom. 🌌,A mesmerizing view of Earth and the galaxy in space.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8yLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_857195-hd_1280_720_25fps.mp4,Strength grows with each step—Suvichaar reminds us. 🏔️,A breathtaking snow-covered mountain landscape.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci8zLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_3064204-hd_1920_1080_24fps.mp4,Darkness fades—Suvichaar lights the way. 🔦,A lone man walking through a dark cave.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci80LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_856006-hd_1920_1080_25fps.mp4,Suvichaar teaches that growth is patience. 🌺,A red flower blooming in slow motion.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci81LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_3110550-hd_1280_720_30fps.mp4,Suvichaar lights up wisdom like a diya. 🪔,Traditional diyas (lamps) glowing in the dark.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci82LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_3129902-uhd_3840_2160_25fps.mp4,Ideas evolve—Suvichaar sparks them. 💡,A futuristic 3D visualization of Earth with tech elements.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci83LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
https://cdn.suvichaar.org/media/videos/portrait_7875576-hd_1920_1080_25fps.mp4,Life is a ride—Suvichaar keeps us balanced. ❄️,A snowboarder gliding smoothly over fresh snow.,https://media.suvichaar.org/eyJidWNrZXQiOiJzdXZpY2hhYXJhcHAiLCJrZXkiOiJtZWRpYS9pbWFnZXMvYmcvTmV3IEZvbGRlci84LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NzIwLCJoZWlnaHQiOjEyODAsImZpdCI6ImNvdmVyIn19fQ==,Your daily dose of inspiration
